10× Genomics, Chromium Next GEM Single Cell 3' v3.1	Chromium Next GEM Single Cell 3' v3.1
10× Genomics, Chromium Next GEM Single Cell 5' v2	Chromium Next GEM Single Cell 5' v2
10X Genomics Chromium	Chromium
10x Genomics Chromium Genome Sequencing Solution	Chromium Genome Library
10x Genomics, Chromium Next GEM Multiome	Chromium Next GEM Multiome
10X Genomics-Chromium system	Chromium
16S Metagenomic Sequencing Library Prep	
1D Ligation Sequencing Kit	
2-step tailed PCR (Ex Taq HS)	
2x Platinum Multiplex PCR Master Mix	2X Platinum Multiplex PCR Master Mix
2X Platinum Multiplex PCR Master Mix	
660W-Quad	__DELETE__
ABsolute QPCR Mix	
Accel-NGS Methyl-Seq DNA library Kit	Accel-NGS Methyl-Seq DNA Library Kit
Accel-NGS Methyl-Seq DNA Library Kit	
ACCEL-NGS METHYL-SEQ DNA LIBRARY KIT ver3.0	Accel-NGS Methyl-Seq DNA Library Kit
Adns Test Prostate Cancer Panel AR-V7	
Adns Test Prostate Cancer Panel AR-V7(Qiagen)	Adns Test Prostate Cancer Panel AR-V7
Affymetrix AXIOM 2.0 Reagent Kit	Axiom 2.0 Reagent Kit
Affymetrix Cytoscan HD kit	Cytoscan HD Kit
Affymetrix Genome-Wide Human SNP Assay Kit 6.0	Genome-Wide Human SNP Array 6.0 Kit
Affymetrix Genome-Wide Human SNP Nsp/Sty Assay Kit 6.0	Genome-Wide Human SNP Array 6.0 Kit
Agilent DNA labeling kit	Agilent DNA Labeling Kit
Agilent DNA Labeling Kit	
Agilent Haloplex HS custom kit	HaloPlex HS Custom Kit
Agilent Haloplex Target Enrichment	HaloPlex Target Enrichment
Agilent Low Input Quick Amp Labeling Kit, one-color	Low Input Quick Amp Labeling Kit
Agilent Quick-Amp Labeling Kit	Quick-Amp Labeling Kit
Agilent SureSelect Clinical Research panel v2	SureSelect Clinical Research Panel v2
Agilent SureSelect Human All Exon Kit v4	SureSelect Human All Exon V4
Agilent SureSelect Human All Exon Kit v5+ LincRNA	SureSelect Human All Exon V5 + lincRNA
Agilent SureSelect Human All Exon v.4	SureSelect Human All Exon V4
Agilent SureSelect Human All Exon V5 (50M) kit	SureSelect Human All Exon V5
Agilent SureSelect QXT Human All Exon v5	SureSelect QXT Human All Exon V5
Agilent SureSelect Strand Specific RNA Kit	SureSelect Strand Specific RNA Kit
Agilent SureSelect V4-post	SureSelect Human All Exon V4
Agilent SureSelect v.5 + lncRNA kit	SureSelect Human All Exon V5 + lincRNA
Agilent Sure Select XT	SureSelect XT
Agilent SureSelect XT custom kit	SureSelect XT Custom Kit
Agilent SureSelect XT Focused Exome target enrichment kit	SureSelect XT Focused Exome Kit
Agilent SureSelect XT Human All Exon v5	SureSelect XT Human All Exon V5
Agilent SureSelect XT Human All Exon V5	SureSelect XT Human All Exon V5
Agilent SureSelect XT Human All Exon V5+Reg	SureSelect XT Human All Exon V5
Agilent SureSelect-XT Low Input Reagent Kit	SureSelect XT Low Input Kit
Agilent SureSelectXT RNA Target Enrichment for Illumina Multiplexed Sequencing	SureSelect XT RNA Target Enrichment
Agilent V6 plus custom probes	SureSelect Human All Exon V6
Amplicon	__DELETE__
Amplicon Sequencing	__DELETE__
AmpliSeq Custom DNA Panel for Illumina	AmpliSeq Custom Panel
AmpliSeq Custom Panel	
AmpliSeq Library Plus for Illumina	
AmpliSeq Library PLUS for illumina	AmpliSeq Library Plus for Illumina
AmpliTaq PCR Kit	
AmpliTaq PCR kits	AmpliTaq PCR Kit
Arima Hi-C kit	Arima Hi-C Kit
Arima Hi-C Kit	
ATAC-Seq Kit	
AVENIO ctDNA Expanded Kit	
Axiom 2.0 Reagent kit	Axiom 2.0 Reagent Kit
Axiom 2.0 Reagent Kit	
AXIOM 2.0 Reagent Kit	Axiom 2.0 Reagent Kit
BD Rhapsody Targeted mRNA and AbSeq Kit	
BD Rhapsody Targeted mRNA Kit	
BD Rhapsody Targeted mRNA kits	BD Rhapsody Targeted mRNA Kit
BD RhapsodyTM Targeted mRNA and AbSeq Reagent Kit	BD Rhapsody Targeted mRNA and AbSeq Kit
BD Rhapsody WTA Amplification Kit	
BD Rhapsody WTA Reagent Kit	
BGI	__DELETE__
BGI exome sequencing service	__DELETE__
BGI library construction	__DELETE__
Big Dye Terminator FS ready-reaction kit	BigDye Terminator Kit
BigDye Terminator Kit	
BigDye Terminator v3.1 Cycle Sequencing kit	BigDye Terminator v3.1 Cycle Sequencing Kit
BigDye Terminator v3.1 Cycle Sequencing Kit	
BigDye XTerminator Purification Kit	
BioLegend TotalSeq-A/B	
BioLegend, TotalSeq-A, -B	BioLegend TotalSeq-A/B
BioLegend TotalSeq-B	
BioLegend TotalSeq-C	
BioLegend, TotalSeq-C	BioLegend TotalSeq-C
CAGE assay	__DELETE__
CAGE kit	CAGE Kit
CAGE Kit	
CAGE Preparation Kit	CAGE Kit
Cas9 Sequencing Kit	
Cas9 Sequencing Kit(SQK-CS9109)	Cas9 Sequencing Kit
cDNA-PCR Sequencing Kit	
cDNA-PCR Sequencing Kit (SQK-PCS111)	cDNA-PCR Sequencing Kit
CHIP-IT High Sensitivity Kit	
CHIP-IT PBMC Kit	
Chromium	
Chromium Fixed RNA Profiling	
Chromium GEM-X Single Cell 5' GEM/Gel Bead/Chip Kit v3	Chromium GEM-X Single Cell 5' v3
Chromium GEM-X Single Cell 5' v3	
Chromium Genome Library	
Chromium Genome Library & Gel Bead Kit v2	Chromium Genome Library v2
Chromium Genome Library v2	
