"package_name","requested_version","installed_version","dependency_type","license"
"@base-ui/react","^1.3.0","1.4.1","dependency","MIT"
"@biomejs/biome","2.4.15","2.4.15","devDependency","MIT OR Apache-2.0"
"@dnd-kit/abstract","^0.3.2","0.3.2","dependency","MIT"
"@dnd-kit/core","^6.3.1","6.3.1","dependency","MIT"
"@dnd-kit/helpers","^0.3.2","0.3.2","dependency","MIT"
"@dnd-kit/react","^0.3.2","0.3.2","dependency","MIT"
"@dnd-kit/sortable","^10.0.0","10.0.0","dependency","MIT"
"@dnd-kit/utilities","^3.2.2","3.2.2","dependency","MIT"
"@electric-sql/pglite","^0.5.1","0.5.1","devDependency","Apache-2.0"
"@formatjs/intl-localematcher","^0.8.1","0.8.7","dependency","MIT"
"@hono/zod-openapi","^1.1.0","1.4.0","dependency","MIT"
"@humandbs/backend","workspace:*","0.0.0","dependency","NOT SPECIFIED"
"@humandbs/eslint-config","workspace:*","0.0.0","devDependency","NOT SPECIFIED"
"@opentelemetry/api","^1.9.0","1.9.1","dependency","Apache-2.0"
"@opentelemetry/api-logs","^0.214.0","0.214.0","dependency","Apache-2.0"
"@opentelemetry/resources","^2.6.1","2.6.1","dependency","Apache-2.0"
"@opentelemetry/sdk-logs","^0.214.0","0.214.0","dependency","Apache-2.0"
"@opentelemetry/semantic-conventions","^1.40.0","1.40.0","dependency","Apache-2.0"
"@radix-ui/react-accordion","^1.2.12","1.2.12","dependency","MIT"
"@radix-ui/react-alert-dialog","^1.1.15","1.1.15","dependency","MIT"
"@radix-ui/react-checkbox","^1.3.3","1.3.3","dependency","MIT"
"@radix-ui/react-dialog","^1.1.15","1.1.15","dependency","MIT"
"@radix-ui/react-label","^2.1.7","2.1.7","dependency","MIT"
"@radix-ui/react-navigation-menu","^1.2.14","1.2.14","dependency","MIT"
"@radix-ui/react-popover","^1.1.15","1.1.15","dependency","MIT"
"@radix-ui/react-select","^2.2.6","2.2.6","dependency","MIT"
"@radix-ui/react-slot","^1.2.3","1.2.3","dependency","MIT"
"@radix-ui/react-switch","^1.2.6","1.2.6","dependency","MIT"
"@radix-ui/react-tabs","^1.1.13","1.1.13","dependency","MIT"
"@radix-ui/react-toggle","^1.1.10","1.1.10","dependency","MIT"
"@radix-ui/react-toggle-group","^1.1.11","1.1.11","dependency","MIT"
"@react-three/drei","^10.7.7","10.7.7","dependency","MIT"
"@react-three/fiber","^9.6.1","9.6.1","dependency","MIT"
"@rsbuild/core","^2.0.0","2.0.6","devDependency","MIT"
"@tailwindcss/typography","^0.5.19","0.5.19","devDependency","MIT"
"@tailwindcss/vite","^4.1.18","4.3.0","devDependency","MIT"
