   …  .......  	__DELETE__
   …  .......  	__DELETE__
,	__DELETE__
.	__DELETE__
...	__DELETE__
......	__DELETE__
................ ..............	__DELETE__
1) BD Rhapsody T Cell Expression Panel Hs (BD Biosciences Cat#633751) 2) Rhapsody Supplemental Gene Primer for IL10 and NRP1. 3) T cell receptor	BD Rhapsody T Cell Expression Panel Hs + Supplemental Gene Primer (IL10, NRP1) + T cell receptor
151 cancer-related genes ClearSeq SS Comprehensive Cancer kits	ClearSeq SS Comprehensive Cancer Kit (151 cancer-related genes)
251 refseq genes on chr3p21 (Table 1)	
2932 proteins	
30 immune response-related proteins	
30 proteins related to immune response	30 immune response-related proteins
302 genes (Human Lung panel: 202 genes, custom: 100 genes)	Human Lung panel (202 genes) + custom genes (100 genes)
302 genes (Human Lung panel: 202 genes, custom: 100 genes) 	Human Lung panel (202 genes) + custom genes (100 genes)
340-gene panel (including Ig heavy/light chain loci)	
340-gene panel (including immunoglobulin heavy and light chain loci)	340-gene panel (including Ig heavy/light chain loci)
340‑gene panel (including immunoglobulin heavy and light chain loci)	340-gene panel (including Ig heavy/light chain loci)
376,602 methylation sites	
380 genes or regions	380 genes or regions
40 immune cell fractions	
409 genes (Ion Ampliseq Comprehensive Cancer Panel)	Ion AmpliSeq Comprehensive Cancer Panel (409 genes)
431,736 CpGs (autosomal chromosomes)	
450K probes	
485577 methylation sites	
487,557 probes	
52 genes	
52 genes (gene list)	52 genes
58 clinical laboratory values	
67 genes which were reported as candidates for MM development (chromatin remodeling, histone modification, transcription factor, TP53, CDKN2A, NF2, Table 2)	
69 gene regions	
69 gene regions (ACTG1, CABP2, CCDC50, CDH23, CEACAM16, CIB2, CLDN14, COCH, COL11A2, COL4A6, CRYM, DFNA5, DFNB59, DIAPH1, ESPN, ESRRB, EYA4, GIPC3, GJB2, GJB3, GJB6, GPSM2, GRHL2, GRXCR1, HGF, ILDR1, KARS, KCNQ4, LHFPL5, LOXHD1, LRTOMT, MARVELD2, MIRN96, MSRB3, MYH14, MYH9, MYO15A, MYO1A, MYO3A, MYO6, MYO7A, OTOA, OTOF, PCDH15, PNPT1, POU3F4, POU4F3, PRPS1, PTPRQ, RDX, SERPINB6, SLC17A8, SLC26A4, SLC26A5, SMAC, SMPX, STRC, TECTA, TJP2, TMC1, TMIE, TMPRSS3, TPRN, TRIOBP, USH1C, USH2A, WFS1, WHRN)	69 gene regions
